====== Scene: 37 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Using mesh scale : 2.1, center : [ 0.01529887 -0.06911839 -0.2153489 ]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan37
config configs/37.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan37
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/37.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.01529887 -0.06911839 -0.2153489 ]
---------
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module renderutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin/lock'
DatasetLLFF: 45 images with shape [600, 800]
Auto centering at [ 0.01529887 -0.06911839 -0.2153489 ]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.01529887 -0.06911839 -0.2153489 ]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 251515 triangles and 126450 vertices.
Avg edge length: 2.684922
Warning: Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/lock'
iter=    0, img_loss=0.346687, reg_loss=0.055574, lr=0.00000, time=1272.7 ms, rem=1.77 h
iter=   10, img_loss=0.349143, reg_loss=0.057948, lr=0.00000, time=1300.3 ms, rem=1.80 h
iter=   20, img_loss=0.330254, reg_loss=0.058525, lr=0.00000, time=1304.9 ms, rem=1.81 h
iter=   30, img_loss=0.297862, reg_loss=0.053915, lr=0.00000, time=1240.0 ms, rem=1.71 h
iter=   40, img_loss=0.297126, reg_loss=0.052813, lr=0.00000, time=1236.4 ms, rem=1.70 h
iter=   50, img_loss=0.309682, reg_loss=0.054948, lr=0.00000, time=1280.4 ms, rem=1.76 h
iter=   60, img_loss=0.317983, reg_loss=0.055548, lr=0.00000, time=1296.3 ms, rem=1.78 h
iter=   70, img_loss=0.283517, reg_loss=0.052016, lr=0.00000, time=1241.7 ms, rem=1.70 h
iter=   80, img_loss=0.313797, reg_loss=0.055368, lr=0.00000, time=1295.8 ms, rem=1.77 h
iter=   90, img_loss=0.301509, reg_loss=0.054062, lr=0.00000, time=1277.6 ms, rem=1.74 h
iter=  100, img_loss=0.295154, reg_loss=0.053158, lr=0.00000, time=1263.5 ms, rem=1.72 h
iter=  110, img_loss=0.309458, reg_loss=0.054983, lr=0.00000, time=1296.3 ms, rem=1.76 h
iter=  120, img_loss=0.290158, reg_loss=0.051629, lr=0.00000, time=1239.0 ms, rem=1.68 h
iter=  130, img_loss=0.320419, reg_loss=0.056173, lr=0.00000, time=1316.5 ms, rem=1.78 h
iter=  140, img_loss=0.292060, reg_loss=0.053071, lr=0.00000, time=1266.2 ms, rem=1.71 h
iter=  150, img_loss=0.326408, reg_loss=0.057603, lr=0.00000, time=1344.4 ms, rem=1.81 h
iter=  160, img_loss=0.305951, reg_loss=0.054723, lr=0.00000, time=1293.4 ms, rem=1.74 h
iter=  170, img_loss=0.299935, reg_loss=0.053332, lr=0.00000, time=1268.8 ms, rem=1.70 h
iter=  180, img_loss=0.326496, reg_loss=0.057100, lr=0.00000, time=1331.3 ms, rem=1.78 h
iter=  190, img_loss=0.294313, reg_loss=0.053361, lr=0.00000, time=1270.2 ms, rem=1.70 h
iter=  200, img_loss=0.327693, reg_loss=0.057145, lr=0.00000, time=1337.0 ms, rem=1.78 h
iter=  210, img_loss=0.305177, reg_loss=0.053803, lr=0.00000, time=1281.8 ms, rem=1.71 h
iter=  220, img_loss=0.304416, reg_loss=0.054086, lr=0.00000, time=1285.4 ms, rem=1.71 h
iter=  230, img_loss=0.331281, reg_loss=0.057648, lr=0.00000, time=1346.2 ms, rem=1.78 h
iter=  240, img_loss=0.306156, reg_loss=0.053029, lr=0.00000, time=1264.9 ms, rem=1.67 h
iter=  250, img_loss=0.331463, reg_loss=0.057983, lr=0.00000, time=1351.9 ms, rem=1.78 h
iter=  260, img_loss=0.314746, reg_loss=0.055344, lr=0.00000, time=1305.9 ms, rem=1.72 h
