====== Scene: 40 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module renderutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin/lock'
Using mesh scale : 2.1, center : [ 0.00283974 -0.06237867 -0.16059668]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan40
config configs/40.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan40
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/40.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.00283974 -0.06237867 -0.16059668]
---------
DatasetLLFF: 45 images with shape [600, 800]
Auto centering at [ 0.00283974 -0.06237867 -0.16059668]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.00283974 -0.06237867 -0.16059668]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 259978 triangles and 130679 vertices.
Avg edge length: 2.621365
Warning: Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/lock'
iter=    0, img_loss=0.355697, reg_loss=0.075058, lr=0.00000, time=1538.3 ms, rem=2.14 h
iter=   10, img_loss=0.321590, reg_loss=0.068713, lr=0.00000, time=1545.8 ms, rem=2.14 h
iter=   20, img_loss=0.310404, reg_loss=0.070120, lr=0.00000, time=1551.1 ms, rem=2.15 h
iter=   30, img_loss=0.286027, reg_loss=0.066982, lr=0.00000, time=1532.5 ms, rem=2.12 h
iter=   40, img_loss=0.288448, reg_loss=0.067772, lr=0.00000, time=1566.6 ms, rem=2.16 h
iter=   50, img_loss=0.266269, reg_loss=0.064368, lr=0.00000, time=1522.0 ms, rem=2.09 h
iter=   60, img_loss=0.282264, reg_loss=0.065789, lr=0.00000, time=1558.2 ms, rem=2.14 h
iter=   70, img_loss=0.272026, reg_loss=0.064964, lr=0.00000, time=1539.0 ms, rem=2.11 h
iter=   80, img_loss=0.288596, reg_loss=0.065749, lr=0.00000, time=1556.7 ms, rem=2.13 h
iter=   90, img_loss=0.290220, reg_loss=0.065969, lr=0.00000, time=1560.6 ms, rem=2.13 h
iter=  100, img_loss=0.287358, reg_loss=0.065804, lr=0.00000, time=1560.8 ms, rem=2.12 h
iter=  110, img_loss=0.287237, reg_loss=0.065453, lr=0.00000, time=1558.5 ms, rem=2.12 h
iter=  120, img_loss=0.286827, reg_loss=0.064805, lr=0.00000, time=1543.1 ms, rem=2.09 h
iter=  130, img_loss=0.297211, reg_loss=0.066796, lr=0.00000, time=1587.0 ms, rem=2.15 h
iter=  140, img_loss=0.282609, reg_loss=0.064737, lr=0.00000, time=1544.0 ms, rem=2.08 h
iter=  150, img_loss=0.279930, reg_loss=0.064520, lr=0.00000, time=1539.8 ms, rem=2.07 h
iter=  160, img_loss=0.275282, reg_loss=0.064501, lr=0.00000, time=1537.5 ms, rem=2.07 h
iter=  170, img_loss=0.271163, reg_loss=0.064654, lr=0.00000, time=1539.1 ms, rem=2.06 h
iter=  180, img_loss=0.279647, reg_loss=0.064377, lr=0.00000, time=1541.7 ms, rem=2.06 h
iter=  190, img_loss=0.290446, reg_loss=0.065844, lr=0.00000, time=1558.0 ms, rem=2.08 h
iter=  200, img_loss=0.285249, reg_loss=0.064598, lr=0.00000, time=1543.9 ms, rem=2.06 h
iter=  210, img_loss=0.277081, reg_loss=0.065186, lr=0.00000, time=1553.9 ms, rem=2.07 h
iter=  220, img_loss=0.297244, reg_loss=0.065427, lr=0.00000, time=1555.4 ms, rem=2.07 h
iter=  230, img_loss=0.266798, reg_loss=0.063144, lr=0.00000, time=1521.4 ms, rem=2.02 h
iter=  240, img_loss=0.262061, reg_loss=0.063985, lr=0.00000, time=1528.9 ms, rem=2.02 h
iter=  250, img_loss=0.308835, reg_loss=0.065817, lr=0.00000, time=1574.0 ms, rem=2.08 h
iter=  260, img_loss=0.295202, reg_loss=0.064698, lr=0.00000, time=1550.1 ms, rem=2.04 h
iter=  270, img_loss=0.292916, reg_loss=0.065829, lr=0.00000, time=1563.6 ms, rem=2.05 h
iter=  280, img_loss=0.290318, reg_loss=0.065280, lr=0.00000, time=1556.2 ms, rem=2.04 h
iter=  290, img_loss=0.268120, reg_loss=0.063482, lr=0.00000, time=1522.3 ms, rem=1.99 h
iter=  300, img_loss=0.275773, reg_loss=0.064645, lr=0.00000, time=1542.1 ms, rem=2.01 h
iter=  310, img_loss=0.287044, reg_loss=0.064773, lr=0.00000, time=1550.3 ms, rem=2.02 h
iter=  320, img_loss=0.286805, reg_loss=0.065252, lr=0.00000, time=1547.2 ms, rem=2.01 h
iter=  330, img_loss=0.274541, reg_loss=0.064627, lr=0.00000, time=1540.0 ms, rem=2.00 h
iter=  340, img_loss=0.267794, reg_loss=0.063647, lr=0.00000, time=1519.5 ms, rem=1.97 h
iter=  350, img_loss=0.285812, reg_loss=0.064239, lr=0.00000, time=1537.4 ms, rem=1.99 h
iter=  360, img_loss=0.271410, reg_loss=0.064312, lr=0.00000, time=1530.2 ms, rem=1.97 h
iter=  370, img_loss=0.295107, reg_loss=0.065944, lr=0.00000, time=1564.4 ms, rem=2.01 h
iter=  380, img_loss=0.290154, reg_loss=0.066368, lr=0.00000, time=1564.3 ms, rem=2.01 h
iter=  390, img_loss=0.280226, reg_loss=0.064657, lr=0.00000, time=1547.2 ms, rem=1.98 h
iter=  400, img_loss=0.293715, reg_loss=0.065368, lr=0.00000, time=1556.4 ms, rem=1.99 h
iter=  410, img_loss=0.292021, reg_loss=0.065573, lr=0.00000, time=1555.0 ms, rem=1.98 h
iter=  420, img_loss=0.276338, reg_loss=0.064149, lr=0.00000, time=1533.2 ms, rem=1.95 h
iter=  430, img_loss=0.289532, reg_loss=0.064758, lr=0.00000, time=1551.7 ms, rem=1.97 h
iter=  440, img_loss=0.278239, reg_loss=0.064966, lr=0.00000, time=1547.0 ms, rem=1.96 h
iter=  450, img_loss=0.280829, reg_loss=0.064106, lr=0.00000, time=1533.8 ms, rem=1.94 h
iter=  460, img_loss=0.288717, reg_loss=0.064769, lr=0.00000, time=1547.0 ms, rem=1.95 h
iter=  470, img_loss=0.267746, reg_loss=0.063889, lr=0.00000, time=1530.4 ms, rem=1.93 h
iter=  480, img_loss=0.274832, reg_loss=0.064683, lr=0.00000, time=1545.5 ms, rem=1.94 h
iter=  490, img_loss=0.282183, reg_loss=0.064506, lr=0.00000, time=1538.4 ms, rem=1.93 h
iter=  500, img_loss=0.306582, reg_loss=0.066707, lr=0.00000, time=1584.9 ms, rem=1.98 h
iter=  510, img_loss=0.280632, reg_loss=0.064632, lr=0.00000, time=1534.2 ms, rem=1.91 h
iter=  520, img_loss=0.275033, reg_loss=0.063699, lr=0.00000, time=1531.9 ms, rem=1.91 h
iter=  530, img_loss=0.279500, reg_loss=0.064828, lr=0.00000, time=1541.8 ms, rem=1.91 h
iter=  540, img_loss=0.272838, reg_loss=0.063806, lr=0.00000, time=1526.0 ms, rem=1.89 h
iter=  550, img_loss=0.292420, reg_loss=0.064976, lr=0.00000, time=1550.5 ms, rem=1.92 h
iter=  560, img_loss=0.277919, reg_loss=0.063206, lr=0.00000, time=1525.3 ms, rem=1.88 h
iter=  570, img_loss=0.312076, reg_loss=0.066893, lr=0.00000, time=1580.0 ms, rem=1.94 h
iter=  580, img_loss=0.278685, reg_loss=0.064900, lr=0.00000, time=1551.5 ms, rem=1.90 h
iter=  590, img_loss=0.281767, reg_loss=0.064957, lr=0.00000, time=1550.3 ms, rem=1.90 h
iter=  600, img_loss=0.301733, reg_loss=0.065792, lr=0.00000, time=1562.0 ms, rem=1.91 h
iter=  610, img_loss=0.291599, reg_loss=0.065511, lr=0.00000, time=1555.2 ms, rem=1.90 h
