====== Scene: 69 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module renderutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin/lock'
Using mesh scale : 2.1, center : [ 0.0573754  -0.00215221 -0.07918038]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan69
config configs/69.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan69
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/69.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.0573754  -0.00215221 -0.07918038]
---------
DatasetLLFF: 45 images with shape [600, 800]
Auto centering at [ 0.0573754  -0.00215221 -0.07918038]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.0573754  -0.00215221 -0.07918038]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 252359 triangles and 126322 vertices.
Avg edge length: 1.604330
Warning: Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/lock'
iter=    0, img_loss=0.344299, reg_loss=0.068077, lr=0.00000, time=1188.8 ms, rem=1.65 h
iter=   10, img_loss=0.196270, reg_loss=0.052931, lr=0.00000, time=1149.1 ms, rem=1.59 h
iter=   20, img_loss=0.159825, reg_loss=0.048754, lr=0.00000, time=1149.9 ms, rem=1.59 h
iter=   30, img_loss=0.149827, reg_loss=0.048884, lr=0.00000, time=1159.4 ms, rem=1.60 h
iter=   40, img_loss=0.147531, reg_loss=0.047865, lr=0.00000, time=1163.0 ms, rem=1.60 h
iter=   50, img_loss=0.142471, reg_loss=0.046554, lr=0.00000, time=1153.6 ms, rem=1.59 h
iter=   60, img_loss=0.144602, reg_loss=0.047148, lr=0.00000, time=1171.8 ms, rem=1.61 h
iter=   70, img_loss=0.138185, reg_loss=0.046022, lr=0.00000, time=1153.3 ms, rem=1.58 h
iter=   80, img_loss=0.145633, reg_loss=0.046664, lr=0.00000, time=1170.1 ms, rem=1.60 h
iter=   90, img_loss=0.143028, reg_loss=0.047624, lr=0.00000, time=1182.9 ms, rem=1.61 h
iter=  100, img_loss=0.148150, reg_loss=0.047062, lr=0.00000, time=1178.1 ms, rem=1.60 h
iter=  110, img_loss=0.143599, reg_loss=0.047413, lr=0.00000, time=1183.8 ms, rem=1.61 h
iter=  120, img_loss=0.144367, reg_loss=0.046396, lr=0.00000, time=1170.3 ms, rem=1.59 h
iter=  130, img_loss=0.145208, reg_loss=0.047577, lr=0.00000, time=1191.1 ms, rem=1.61 h
iter=  140, img_loss=0.140008, reg_loss=0.045887, lr=0.00000, time=1160.0 ms, rem=1.57 h
iter=  150, img_loss=0.141351, reg_loss=0.046533, lr=0.00000, time=1170.9 ms, rem=1.58 h
iter=  160, img_loss=0.145271, reg_loss=0.046993, lr=0.00000, time=1184.3 ms, rem=1.59 h
iter=  170, img_loss=0.135188, reg_loss=0.045349, lr=0.00000, time=1153.5 ms, rem=1.55 h
iter=  180, img_loss=0.149096, reg_loss=0.046770, lr=0.00000, time=1180.7 ms, rem=1.58 h
iter=  190, img_loss=0.142547, reg_loss=0.045758, lr=0.00000, time=1163.8 ms, rem=1.56 h
iter=  200, img_loss=0.135442, reg_loss=0.045839, lr=0.00000, time=1163.3 ms, rem=1.55 h
iter=  210, img_loss=0.149772, reg_loss=0.047115, lr=0.00000, time=1185.7 ms, rem=1.58 h
iter=  220, img_loss=0.144158, reg_loss=0.047050, lr=0.00000, time=1185.3 ms, rem=1.57 h
iter=  230, img_loss=0.142432, reg_loss=0.046214, lr=0.00000, time=1168.7 ms, rem=1.55 h
iter=  240, img_loss=0.137874, reg_loss=0.045054, lr=0.00000, time=1154.1 ms, rem=1.53 h
iter=  250, img_loss=0.142399, reg_loss=0.045749, lr=0.00000, time=1164.1 ms, rem=1.54 h
iter=  260, img_loss=0.138820, reg_loss=0.045656, lr=0.00000, time=1162.1 ms, rem=1.53 h
iter=  270, img_loss=0.137078, reg_loss=0.046057, lr=0.00000, time=1165.7 ms, rem=1.53 h
